hiddenId,id,customerId,demandId,wholeSalerId,quantyPerMonth,typeOfFormatId,offerPrice,brand,,fomat,comments,createdOn,,borrado,approvedBy,Customer,sentToCust,omer,rejected
1,F350FB77-0E72-4661-A605-5E9A2BAA0F9C,5,3,1,100,2,1.23,Aceite de,oliva,Format111,Sin comentarios,2/4/2018,08:08.1,0,NULL,,2/4/2018,08:08.1,0
2,F714555D-3328-464C-8499-0CE3B64A058B,5,4,2,10,1,1.11,Offer 1,,Format 1,Comment 1,2/4/2018,08:35.0,0,NULL,,2/4/2018,08:35.0,0
18,F714555D-3328-464C-8499-0CE3B64A058C,5,4,1,10,1,2.22,Offer 2,,Format 2,Comment 2,2/4/2018,08:35.0,0,2/11/2018,13:20.9,2/4/2018,08:35.0,0
36,6B4F3838-4E48-4BF5-B0C8-8238E4C0E7F6,26,32,12,80,2,0.8,mega agua,,ddd,nada,2/17/2018,06:19.5,0,2/17/2018,33:02.1,2/17/2018,06:19.5,0
37,509A3953-0BAF-486C-85B1-CEE3EB0E63EB,5,8,8,10,1,12.63,kdns,,ndnd,,2/20/2018,16:08.5,0,NULL,,2/20/2018,16:08.5,0
44,714F2B8C-C567-4806-B8E8-8966662D3685,5,11,8,10,1,23.96,kdjdk,,ndnd,,3/2/2018,48:33.7,0,NULL,,3/2/2018,48:33.7,0
45,24995E72-470A-46C0-A921-369F39ABF8EE,5,11,8,10,1,23.96,kdjdk,,ndnd,,3/2/2018,48:35.0,0,NULL,,3/2/2018,48:35.0,0
46,7A2D83D9-6B91-46C2-9F63-E1C222E656A0,5,11,8,10,1,23.96,kdjdk,,ndnd,,3/2/2018,48:37.5,0,NULL,,3/2/2018,48:37.5,0
49,4B27A820-DAE3-4780-8F47-5824CFB052C8,26,74,12,34343,1,5,testing,,hhah,bjjss,3/11/2018,40:25.8,0,NULL,,3/11/2018,40:25.8,0
50,85DA2CB3-4D88-4EEB-89D0-ED0BC4FA77B0,26,74,12,34343,1,5,testing,,hhah,bjjss,3/11/2018,40:28.9,0,3/26/2018,44:36.5,3/11/2018,40:28.9,0
51,17D20711-4EE0-408F-B03C-1E195E6DE42A,26,33,12,22,2,12.5,marca off,er,formato off,asas,3/11/2018,28:51.3,0,NULL,,3/11/2018,28:51.3,0
53,F66F19AB-FF24-4AC1-8DA5-8626850CB573,26,76,12,6767,3,1212,marca pmg,,format pmg,comentarios pmg,3/11/2018,36:07.5,0,NULL,,3/11/2018,36:07.5,0
54,E71BAB85-F41D-4E9F-8F59-832BA5A808DA,26,45,12,1000,2,35,marca omg,x,formato pmg x,a,3/11/2018,47:57.6,0,NULL,,3/11/2018,47:57.6,0
55,C6614D8B-26C5-4E61-8953-CBD6009D3950,26,73,12,44,1,25,jkajjdj,,nene,,3/11/2018,52:37.2,0,NULL,,3/11/2018,52:37.2,0
56,3D1AA0BA-C286-4D0A-B15C-415DE0E539B3,26,51,12,52,2,55,bbajjd,,bbdbd,jjdbd,3/11/2018,53:46.6,0,NULL,,3/11/2018,53:46.6,0
57,7ED51378-DDA5-44AD-B996-D3B982CC60C4,26,67,12,44,2,98884,lkanbd,,bdjjd,,3/11/2018,06:44.2,0,3/25/2018,01:28.6,3/11/2018,06:44.2,0
58,3C7F8D72-CC23-4BC2-A3D9-F60E7600D740,26,72,12,1212,1,22,jobs,,bajas,bbsbbs,3/11/2018,10:10.6,0,NULL,,3/11/2018,10:10.6,0
59,0E27C523-A1E9-408E-9CDB-A06E4BB7262E,26,91,12,22,1,225,hdjdjdjfj,bdjdjdj,hdjdjdjfjbdjdjdj,jjjdf,3/11/2018,15:02.8,0,NULL,,3/11/2018,15:02.8,0
60,96A1BBE9-BDBF-45F7-AFC4-88E9D19F2437,26,90,12,22,1,25,hhhse,,jjjdjd,hdjdjdjfjbdjdjdj,3/11/2018,15:54.9,0,NULL,,3/11/2018,15:54.9,0
66,1A6EEF22-68EF-455F-8A2E-100BA2A188F9,35,105,22,1236,1,0.87,vddf,,kg,,3/21/2018,49:54.3,0,3/21/2018,50:45.9,3/21/2018,49:54.3,0
68,C08C310B-D823-4DAE-ADAD-6E4BE068BE89,26,34,21,25,1,25.69,abc,,kilo,,3/26/2018,59:33.8,0,NULL,,3/26/2018,59:33.8,0
69,434128D0-5CED-4A45-8713-356D166DE59F,26,34,21,25,1,25.69,abc,,kilo,,3/26/2018,59:36.3,0,NULL,,3/26/2018,59:36.3,0
70,F0836E4F-6A19-46C4-97CC-1EB77D622736,5,135,5,0,4,12,Marca,,Formato,Comentarios,3/26/2018,14:43.9,0,NULL,,3/26/2018,14:43.9,0
71,83CEB815-6232-4D5E-AA4E-D5AE542B40FD,5,135,5,0,4,12,Marca,,Formato,Comentarios,3/26/2018,14:44.8,0,NULL,,3/26/2018,14:44.8,0
